id,foss_id,tutorial,level_id,order,user_id,created,updated
121,26,Using the plot command interactively,1,2,1,2014-07-27 13:07:51,2014-07-27 13:07:51
122,7,Setting Up GIMP,1,2,1,2014-07-27 13:07:51,2014-07-27 13:07:51
123,7,Rotating And Cropping An Image,1,3,1,2014-07-27 13:07:52,2014-07-27 13:07:52
124,7,Adjusting Colours Using Layers,1,4,1,2014-07-27 13:07:52,2014-07-27 13:07:52
125,26,Getting started with ipython,1,1,1,2014-07-27 13:07:52,2014-07-27 13:07:52
126,7,Using Layers Healing Cloning Tools,1,5,1,2014-07-27 13:07:52,2014-07-27 13:07:52
127,7,Triptychs In A New Way,1,6,1,2014-07-27 13:07:52,2014-07-27 13:07:52
128,7,Drawing Tools,1,7,1,2014-07-27 13:07:53,2014-07-27 13:07:53
129,7,Sketching,1,8,1,2014-07-27 13:07:53,2014-07-27 13:07:53
130,7,Brushes,1,9,1,2014-07-27 13:07:53,2014-07-27 13:07:53
131,7,Colours And Dialogs,1,10,1,2014-07-27 13:07:53,2014-07-27 13:07:53
132,7,Selecting Sections Part 1,1,11,1,2014-07-27 13:07:53,2014-07-27 13:07:53
133,7,Selecting Sections Part 2,1,12,1,2014-07-27 13:07:53,2014-07-27 13:07:53
134,7,The Curves Tool,1,13,1,2014-07-27 13:07:53,2014-07-27 13:07:53
135,7,Two Minutes Edit,1,14,1,2014-07-27 13:07:54,2014-07-27 13:07:54
136,26,Embellishing a plot,1,3,1,2014-07-27 13:07:54,2014-07-27 13:07:54
137,7,Drawing Simple Figures,1,15,1,2014-07-27 13:07:54,2014-07-27 13:07:54
138,7,Resolutions,1,16,1,2014-07-27 13:07:54,2014-07-27 13:07:54
139,26,Saving plots,1,4,1,2014-07-27 13:07:54,2014-07-27 13:07:54
140,26,Multiple plots,1,5,1,2014-07-27 13:07:54,2014-07-27 13:07:54
141,26,Additional features of IPython,1,6,1,2014-07-27 13:07:54,2014-07-27 13:07:54
142,26,Getting started with functions,3,29,1,2014-07-27 13:07:55,2014-07-27 13:07:55
143,26,Advanced features of functions,3,30,1,2014-07-27 13:07:55,2014-07-27 13:07:55
144,26,Using python modules,3,31,1,2014-07-27 13:07:55,2014-07-27 13:07:55
145,26,Writing python scripts,3,32,1,2014-07-27 13:07:55,2014-07-27 13:07:55
146,15,Introduction,1,1,1,2014-07-27 13:07:55,2014-07-27 13:07:55
147,15,Tables and Relationships,1,2,1,2014-07-27 13:07:55,2014-07-27 13:07:55
148,7,How To Fix An Underexposed Image,1,17,1,2014-07-27 13:07:55,2014-07-27 13:07:55
149,26,Testing and debugging,3,33,1,2014-07-27 13:07:56,2014-07-27 13:07:56
150,7,Adjusting Colours with Curves Tool,1,18,1,2014-07-27 13:07:56,2014-07-27 13:07:56
151,7,Easy Animation,1,19,1,2014-07-27 13:07:56,2014-07-27 13:07:56
152,15,Modify a simple form,1,4,1,2014-07-27 13:07:56,2014-07-27 13:07:56
153,15,Create a simple form,1,3,1,2014-07-27 13:07:56,2014-07-27 13:07:56
154,26,Getting started with lists,2,10,1,2014-07-27 13:07:56,2014-07-27 13:07:56
155,15,Build a complex form with form controls,1,5,1,2014-07-27 13:07:57,2014-07-27 13:07:57
156,15,Add List Box form control to a form,1,6,1,2014-07-27 13:07:57,2014-07-27 13:07:57
157,7,Comics,1,20,1,2014-07-27 13:07:57,2014-07-27 13:07:57
158,15,Add Push Button to a form,1,7,1,2014-07-27 13:07:57,2014-07-27 13:07:57
159,26,Parsing data,2,14,1,2014-07-27 13:07:57,2014-07-27 13:07:57
160,7,Selective Sharpening,1,21,1,2014-07-27 13:07:57,2014-07-27 13:07:57
161,15,Create queries using Query Wizard,1,9,1,2014-07-27 13:07:58,2014-07-27 13:07:58
162,26,Statistics,2,15,1,2014-07-27 13:07:58,2014-07-27 13:07:58
163,15,Enter and update data in a form,1,8,1,2014-07-27 13:07:58,2014-07-27 13:07:58
164,15,Create queries using Design View,1,10,1,2014-07-27 13:07:58,2014-07-27 13:07:58
165,15,Modify a Report,1,12,1,2014-07-27 13:07:58,2014-07-27 13:07:58
166,7,Questions And Answers,1,22,1,2014-07-27 13:07:58,2014-07-27 13:07:58
167,15,Create tables,2,13,1,2014-07-27 13:07:58,2014-07-27 13:07:58
168,15,Create Subforms,2,14,1,2014-07-27 13:07:58,2014-07-27 13:07:58
169,15,Create simple queries in SQL View,2,15,1,2014-07-27 13:07:58,2014-07-27 13:07:58
170,15,Create simple queries in SQL View II,2,16,1,2014-07-27 13:07:59,2014-07-27 13:07:59
171,15,Access data sources,3,17,1,2014-07-27 13:07:59,2014-07-27 13:07:59
